123	98	207	0.1171875
123	53	98	0.10092514718250631
123	54	353	0.25
123	328	116	0.15555555555555556
123	159	437	0.21875
123	116	353	0.5
123	123	364	0.2
123	248	123	1.0
123	284	155	0.125
123	357	134	0.20454545454545456
123	54	328	0.10294117647058823
123	54	437	0.1111111111111111
123	284	127	0.13333333333333333
123	346	207	0.125
123	364	169	0.11538461538461539
353	328	437	0.1171875
353	283	328	0.10092514718250631
353	284	123	0.25
353	98	346	0.15555555555555556
353	389	207	0.21875
353	346	123	0.5
353	353	134	0.2
353	18	353	1.0
353	54	385	0.125
353	127	364	0.20454545454545456
353	284	98	0.10294117647058823
353	284	207	0.1111111111111111
353	54	357	0.13333333333333333
353	116	437	0.125
353	134	399	0.11538461538461539
98	353	372	0.5
98	169	207	0.3770491803278688
98	98	345	0.16956521739130434
98	54	345	0.15789473684210525
98	345	116	0.2781456953642384
98	333	116	0.29411764705882354
98	54	333	0.375
98	98	346	0.13701067615658363
98	328	134	0.6666666666666666
98	328	196	0.375
98	248	98	1.0
98	116	353	0.13333333333333333
98	353	134	0.2
98	159	437	0.25
98	134	437	0.2222222222222222
98	285	98	0.18181818181818182
98	284	155	0.17391304347826086
98	115	369	0.25
98	345	134	0.1111111111111111
98	18	437	0.3
98	98	389	0.2727272727272727
98	98	392	0.22580645161290322
98	98	438	0.1111111111111111
98	357	134	0.11363636363636363
98	284	98	0.25
98	54	437	0.1111111111111111
98	284	127	0.13333333333333333
328	123	142	0.5
328	399	437	0.3770491803278688
328	328	115	0.16956521739130434
328	284	115	0.15789473684210525
328	115	346	0.2781456953642384
328	103	346	0.29411764705882354
328	284	103	0.375
328	328	116	0.13701067615658363
328	98	364	0.6666666666666666
328	98	426	0.375
328	18	328	1.0
328	346	123	0.13333333333333333
328	123	364	0.2
328	389	207	0.25
328	364	207	0.2222222222222222
328	55	328	0.18181818181818182
328	54	385	0.17391304347826086
328	345	139	0.25
328	115	364	0.1111111111111111
328	248	207	0.3
328	328	159	0.2727272727272727
328	328	162	0.22580645161290322
328	328	208	0.1111111111111111
328	127	364	0.11363636363636363
328	54	328	0.25
328	284	207	0.1111111111111111
328	54	357	0.13333333333333333
159	156	169	0.10902255639097744
159	127	158	0.13253012048192772
389	386	399	0.10902255639097744
389	357	388	0.13253012048192772
208	61	160	0.11764705882352941
208	56	159	0.10429447852760736
438	291	390	0.11764705882352941
438	286	389	0.10429447852760736
162	53	90	0.2671009771986971
162	160	207	0.14285714285714285
392	283	320	0.2671009771986971
392	390	437	0.14285714285714285
42	248	286	0.2727272727272727
272	18	56	0.2727272727272727
91	156	202	0.10741687979539642
91	38	46	0.24489795918367346
321	386	432	0.10741687979539642
321	268	276	0.24489795918367346
18	156	169	0.12531328320802004
18	155	156	0.21495327102803738
248	386	399	0.12531328320802004
248	385	386	0.21495327102803738
173	156	202	0.13043478260869565
173	150	222	0.13548387096774195
173	156	222	0.11206896551724138
403	386	432	0.13043478260869565
403	380	452	0.13548387096774195
403	386	452	0.11206896551724138
142	346	142	0.44680851063829785
372	116	372	0.44680851063829785
168	6	222	0.20512820512820512
398	236	452	0.20512820512820512
115	103	127	0.10870907967881409
115	103	207	0.21722846441947566
115	103	160	0.1380813953488372
115	53	123	0.12848605577689243
115	98	207	0.103125
115	98	123	0.11571428571428571
345	333	357	0.10870907967881409
345	333	437	0.21722846441947566
345	333	390	0.1380813953488372
345	283	353	0.12848605577689243
345	328	437	0.103125
345	328	353	0.11571428571428571
207	116	437	0.3333333333333333
207	54	328	0.10294117647058823
207	54	437	0.25
437	346	207	0.3333333333333333
437	284	98	0.10294117647058823
437	284	207	0.25
127	333	115	0.10315315315315315
357	103	345	0.10315315315315315
170	86	156	0.2682926829268293
400	316	386	0.2682926829268293
