105	307	356	0.17833166936344544
356	56	105	0.17833166936344544
225	388	476	0.21109671339380376
476	137	225	0.21109671339380376
174	315	425	0.14331550802139037
174	362	425	0.26481257557436516
425	64	174	0.14331550802139037
425	111	174	0.26481257557436516
144	58	127	0.16666666666666666
395	309	378	0.16666666666666666
156	99	156	0.23076923076923078
407	350	407	0.23076923076923078
224	388	475	0.18591549295774648
224	307	475	0.1891332470892626
224	403	475	0.12948157401623986
224	356	475	0.13015241882041087
224	421	475	0.14475296039199673
475	137	224	0.18591549295774648
475	56	224	0.1891332470892626
475	152	224	0.12948157401623986
475	105	224	0.13015241882041087
475	170	224	0.14475296039199673
171	388	422	0.10289584839605768
422	137	171	0.10289584839605768
110	356	361	0.10952550838387443
361	105	110	0.10952550838387443
168	307	419	0.10188465353549667
419	56	168	0.10188465353549667
133	356	384	0.11998551118355519
133	307	384	0.1206295907660021
384	105	133	0.11998551118355519
384	56	133	0.1206295907660021
209	388	460	0.2328183271177411
460	137	209	0.2328183271177411
196	388	447	0.5613430908308222
447	137	196	0.5613430908308222
151	395	402	0.21794871794871795
151	311	402	1.0
151	364	402	1.0
151	346	402	1.0
151	269	402	1.0
151	18	92	0.1111111111111111
402	144	151	0.21794871794871795
402	60	151	1.0
402	113	151	1.0
402	95	151	1.0
402	18	151	1.0
402	269	343	0.1111111111111111
149	384	400	0.2773826458036984
149	307	400	0.2660393498716852
400	133	149	0.2773826458036984
400	56	149	0.2660393498716852
202	388	453	0.11762602788702181
202	315	453	0.131498135556043
453	137	202	0.11762602788702181
453	64	202	0.131498135556043
208	376	459	0.2161339421613394
208	403	459	0.2527322404371585
208	425	459	0.1684981684981685
208	364	459	1.0
208	306	459	0.25925925925925924
459	125	208	0.2161339421613394
459	152	208	0.2527322404371585
459	174	208	0.1684981684981685
459	113	208	1.0
459	55	208	0.25925925925925924
137	307	388	0.12101258621915666
388	56	137	0.12101258621915666
