123	353	357	0.21511627906976744
353	123	127	0.21511627906976744
98	328	372	1.0
98	328	353	0.26666666666666666
328	98	142	1.0
328	98	123	0.26666666666666666
162	392	399	1.0
392	162	169	1.0
168	56	229	0.25
398	286	459	0.25
87	53	191	0.25
317	283	421	0.25
53	283	390	0.1670205237084218
283	53	160	0.1670205237084218
115	345	353	0.20994475138121546
115	345	390	0.5106382978723404
115	345	372	1.0
115	328	345	0.16956521739130434
115	345	385	1.0
345	115	123	0.20994475138121546
345	115	160	0.5106382978723404
345	115	142	1.0
345	98	115	0.16956521739130434
345	115	155	1.0
103	333	385	0.5106382978723404
103	333	399	0.5272727272727272
103	333	345	0.22099447513812154
333	103	155	0.5106382978723404
333	103	169	0.5272727272727272
333	103	115	0.22099447513812154
207	333	437	0.3333333333333333
437	103	207	0.3333333333333333
90	283	320	0.5
320	53	90	0.5
